CodelistID;GroupType;SchemeID;CL Name;Codelist Description;Agency;CLID;Ver;Total Codes;Unique Codes;Common codes;Shared Codes;Similar Codelists;URL
UNSD:CL_COMMODITY(1.0);SINGLE;commodity;CL_COMMODITY;Description not available;UNSD;CL_COMMODITY;1.0;68191;68185;1;5;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_COMMODITY/1.0
IAEG-SDGs:CL_COMP_BREAKDOWN(1.18);SINGLE;compBreakdown;SDG composite breakdown code list;Description not available;IAEG-SDGs;CL_COMP_BREAKDOWN;1.18;363;362;1;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_COMP_BREAKDOWN/1.18
IMF:CL_COMP_METHOD(1.2);SINGLE;compMethod;Compilation methodology code list;Description not available;IMF;CL_COMP_METHOD;1.2;3;0;0;3;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_COMP_METHOD/1.2
SDMX:CL_CONF_STATUS(1.3);SINGLE;confStatus;Confidentiality Status;Description not available;SDMX;CL_CONF_STATUS;1.3;12;0;0;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_CONF_STATUS/1.3
ESTAT:CL_COPNI(1.0);GROUP;expenditureCopni;COPNI;Description not available;ESTAT;CL_COPNI;1.0;35;0;2;33;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COPNI/1.0
SDMX:CL_COPNI_1999(1.0);GROUP;expenditureCopni;Classification of the Purposes of Non-Profit Institutions Serving Households;"This code list provides a set of building blocks to be used for classifying individual outlays of Non-Profit Institutions Serving Households (NPISHs) according to the purpose they serve. This code list was formally adopted on 27 June 2014. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_COPNI_1999;1.0;65;32;0;33;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COPNI_1999/1.0
ESTAT:CL_COPP(1.0);GROUP;expenditureCopp;COPP;Description not available;ESTAT;CL_COPP;1.0;30;0;2;28;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COPP/1.0
IAEG-SDGs:CL_ACTIVITY(1.6);GROUP;activity;Economic activity code list;Description not available;IAEG-SDGs;CL_ACTIVITY;1.6;32;8;1;23;['ESTAT:CL_ACTIVITY93(1.6)', 'ESTAT:CL_ACTIVITY(1.11.0)', 'UNSD:CL_ACTIVITY(1.0)', 'IAEG-SDGs:CL_ACTIVITY(1.6)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_ACTIVITY/1.6
SDMX:CL_COPP_1999(1.0);GROUP;expenditureCopp;Classification of the Outlays of Producers According to Purpose;"This code list provides a set of building blocks to be used for classifying outlays of enterprises by purpose. It is based on the United Nations eponymous standard classification. This code list was formally adopted on 27 June 2014. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_COPP_1999;1.0;51;23;0;28;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_COPP_1999/1.0
ESTAT:CL_COVERAGE_GEO(1.0);SINGLE;coverageGeo;Geographical coverage;Defines which type of region is used to compile the index;ESTAT;CL_COVERAGE_GEO;1.0;13;9;1;3;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COVERAGE_GEO/1.0
ESTAT:CL_COVERAGE_POP(1.1.0);SINGLE;coveragePop;Population coverage;Description not available;ESTAT;CL_COVERAGE_POP;1.1.0;14;12;1;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_COVERAGE_POP/1.1.0
IMF:CL_CURRENCY(1.6);SINGLE;currency;Currency of issuance or invoicing code list;Description not available;IMF;CL_CURRENCY;1.6;272;0;3;269;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_CURRENCY/1.6
ESTAT:CL_CUST_BREAKDOWN(1.6.0);GROUP;custom;Custom breakdown code list (NA);Description not available;ESTAT;CL_CUST_BREAKDOWN;1.6.0;155;53;1;101;['ESTAT:CL_CUST_BREAKDOWN(1.6.0)', 'IAEG-SDGs:CL_CUST_BREAKDOWN(1.14)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_CUST_BREAKDOWN/1.6.0
IAEG-SDGs:CL_CUST_BREAKDOWN(1.14);GROUP;custom;SDG custom breakdown code list;Description not available;IAEG-SDGs;CL_CUST_BREAKDOWN;1.14;5001;4403;1;597;['ESTAT:CL_CUST_BREAKDOWN(1.6.0)', 'IAEG-SDGs:CL_CUST_BREAKDOWN(1.14)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_CUST_BREAKDOWN/1.14
UNSD:CL_CUSTOMS_PROC(1.0);SINGLE;customsProc;CL_CUSTOMS_PROC;Description not available;UNSD;CL_CUSTOMS_PROC;1.0;18;17;1;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_CUSTOMS_PROC/1.0
SDMX:CL_DECIMALS(1.0);SINGLE;decimals;Decimals;"This code list provides a list of values showing the number of decimal digits used in the data. This code list was released in 2009. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_DECIMALS;1.0;16;0;10;6;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_DECIMALS/1.0
SDMX:CL_DEG_URB(1.0);GROUP;urbanisation;Code list for degree of urbanisation;This code list provides coded information about the degree to which area is urbanised.;SDMX;CL_DEG_URB;1.0;14;6;4;4;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_DEG_URB/1.0
ESTAT:CL_DEMAND_PROD(1.0);SINGLE;demandProd;Demand or production;Description not available;ESTAT;CL_DEMAND_PROD;1.0;2;0;0;2;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_DEMAND_PROD/1.0
UNSD:CL_ACTIVITY(1.0);GROUP;activity;CL_ACTIVITY;Description not available;UNSD;CL_ACTIVITY;1.0;1368;1345;1;22;['ESTAT:CL_ACTIVITY93(1.6)', 'ESTAT:CL_ACTIVITY(1.11.0)', 'UNSD:CL_ACTIVITY(1.0)', 'IAEG-SDGs:CL_ACTIVITY(1.6)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_ACTIVITY/1.0
IAEG-SDGs:CL_DISABILITY(1.0);SINGLE;disability;Disability status code list;Description not available;IAEG-SDGs;CL_DISABILITY;1.0;3;1;1;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_DISABILITY/1.0
ESTAT:CL_EDP_WBB(1.0);SINGLE;workBalance;EDP working balance basis;Description not available;ESTAT;CL_EDP_WBB;1.0;4;0;1;3;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_EDP_WBB/1.0
UIS:CL_EDU_TABLEID(1.0);SINGLE;educationTable;Table identifier;Description not available;UIS;CL_EDU_TABLEID;1.0;66;45;0;21;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDU_TABLEID/1.0
UIS:CL_EDUCATION_FIELD(1.0);SINGLE;educationFields;Fields of education;Description not available;UIS;CL_EDUCATION_FIELD;1.0;221;209;2;10;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDUCATION_FIELD/1.0
IAEG-SDGs:CL_EDUCATION_LEV(1.10);GROUP;educationLev;SDG Education Level code list;Description not available;IAEG-SDGs;CL_EDUCATION_LEV;1.10;55;10;1;44;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_EDUCATION_LEV/1.10
UIS:CL_EDUCATION_LEVEL(1.0);GROUP;educationLev;Education level;Description not available;UIS;CL_EDUCATION_LEVEL;1.0;239;193;2;44;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDUCATION_LEVEL/1.0
UIS:CL_EDUCATION_TYPE(1.0);SINGLE;educationType;Education type;Description not available;UIS;CL_EDUCATION_TYPE;1.0;7;3;3;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EDUCATION_TYPE/1.0
ESTAT:CL_ENERGY_FLOWS(1.2);SINGLE;energyFlows;Energy flows;Natural energy inputs (broken down), energy products (broken down), residuals (broken down);ESTAT;CL_ENERGY_FLOWS;1.2;222;215;0;7;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ENERGY_FLOWS/1.2
UIS:CL_EXPENDITURE_TYPE(1.0);SINGLE;expenditureType;Expenditure type;Description not available;UIS;CL_EXPENDITURE_TYPE;1.0;27;23;2;2;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_EXPENDITURE_TYPE/1.0
OECD:CL_FDI_RELATION(1.0);SINGLE;fdiRelation;FDI relationship code list;Description not available;OECD;CL_FDI_RELATION;1.0;2;0;0;2;;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_FDI_RELATION/1.0
OECD:CL_ACTIVITY_ALLOC(1.0);GROUP;activity;Activity allocation code list;Description not available;OECD;CL_ACTIVITY_ALLOC;1.0;4;0;4;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_ACTIVITY_ALLOC/1.0
SDMX:CL_FREQ(2.1);SINGLE;freq;"Code list for concept ""Frequency""";"This code list provides a set of values indicating the
          ""frequency"" of the data (e.g. weekly, monthly, quarterly). The concept ""frequency"" may
          refer to various stages in the production process, e.g. data collection or data
          dissemination. For example, a time series could be disseminated at annual frequency but
          the underlying data are compiled monthly. The code list is applicable for all different
          uses of ""frequency"".";SDMX;CL_FREQ;2.1;34;10;3;21;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_FREQ/2.1
IMF:CL_FSENTRY(1.1);GROUP;itemStocks;Flow or stock entry code list;Description not available;IMF;CL_FSENTRY;1.1;13;0;1;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_FSENTRY/1.1
IMF:CL_FUNCTIONAL_CAT(1.10.1);SINGLE;functionalCat;Functional category code list;Description not available;IMF;CL_FUNCTIONAL_CAT;1.10.1;27;12;3;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_FUNCTIONAL_CAT/1.10.1
IAEG-SDGs:CL_GEO_INFO_TYPE(1.0);SINGLE;geoInfoType;Geoinformation type code list;Description not available;IAEG-SDGs;CL_GEO_INFO_TYPE;1.0;4;4;0;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_GEO_INFO_TYPE/1.0
ESTAT:CL_GFS_ECOFUNC(1.0);SINGLE;economicFunc;GFS economic function;Description not available;ESTAT;CL_GFS_ECOFUNC;1.0;12;9;2;1;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_GFS_ECOFUNC/1.0
ESTAT:CL_GFS_TAXCAT(1.2);SINGLE;taxCat;GFS tax category;Description not available;ESTAT;CL_GFS_TAXCAT;1.2;8;1;1;6;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_GFS_TAXCAT/1.2
IMF:CL_GFSM_STO(1.0);SINGLE;stockTrans;Stocks, Transactions, Other Flows;Description not available;IMF;CL_GFSM_STO;1.0;174;157;1;16;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_GFSM_STO/1.0
UIS:CL_GRADE(1.0);SINGLE;grade;Grade;Description not available;UIS;CL_GRADE;1.0;17;2;3;12;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_GRADE/1.0
ESTAT:CL_IDX_TYPE(1.0);SINGLE;indexType;Index type;Differentiates between different types of indices;ESTAT;CL_IDX_TYPE;1.0;7;7;0;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_IDX_TYPE/1.0
ESTAT:CL_IND_TYPE(1.1);SINGLE;indType;Indicator type;Description not available;ESTAT;CL_IND_TYPE;1.1;26;19;0;7;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_IND_TYPE/1.1
SDMX:CL_ACTIVITY_ANZSIC06(1.0);GROUP;activity;Activity - ANZSIC 2006;"This code list provides lists of values for describing the economic activity, defined as the combination of actions that result in the production, distribution and consumption of goods or services. It is based on the Australian/New Zealand standard classification ANZSIC (Australian and New Zealand Standard Industrial Classification), 2006. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_ACTIVITY_ANZSIC06;1.0;825;499;0;326;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_ACTIVITY_ANZSIC06/1.0
ESTAT:CL_INSTR_ASSET(1.14.0);GROUP;assets;Instrument and Assets Classification;Description not available;ESTAT;CL_INSTR_ASSET;1.14.0;442;313;1;128;['ESTAT:CL_INSTR_ASSET93(1.5)', 'ESTAT:CL_INSTR_ASSET(1.14.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_INSTR_ASSET/1.14.0
ESTAT:CL_INSTR_ASSET93(1.5);GROUP;assets;Instrument and Assets Clasification (SNA93);Description not available;ESTAT;CL_INSTR_ASSET93;1.5;165;60;1;104;['ESTAT:CL_INSTR_ASSET93(1.5)', 'ESTAT:CL_INSTR_ASSET(1.14.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_INSTR_ASSET93/1.5
UIS:CL_INTENSITY(1.0);SINGLE;intensity;Intensity;Description not available;UIS;CL_INTENSITY;1.0;4;0;2;2;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_INTENSITY/1.0
ESTAT:CL_INTERACTORS(1.3);SINGLE;interactUnits;Units interacting with the environment;"(emitting green house gases and air pollutants, suppliers / consumers of energy, water, natural resources)
Covers ISIC/NACE, households and Total";ESTAT;CL_INTERACTORS;1.3;154;19;2;133;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_INTERACTORS/1.3
ESTAT:CL_ITEM_PRICE(2.0);SINGLE;itemPrice;Item in the classification;Description not available;ESTAT;CL_ITEM_PRICE;2.0;837;54;2;781;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_ITEM_PRICE/2.0
ESTAT:CL_LAND_COVER(1.0);GROUP;lands;Land cover;Description not available;ESTAT;CL_LAND_COVER;1.0;15;14;1;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_LAND_COVER/1.0
ESTAT:CL_LAND_USE(1.0.1);GROUP;lands;Land use;Description not available;ESTAT;CL_LAND_USE;1.0.1;34;33;1;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_LAND_USE/1.0.1
OECD:CL_LEV_COUNTERPART(1.0);SINGLE;levCounterpart;Level of counterpart code list;Description not available;OECD;CL_LEV_COUNTERPART;1.0;3;3;0;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_LEV_COUNTERPART/1.0
ESTAT:CL_MATERIAL(1.1);SINGLE;material;Materials;Materials classification (products, natural inputs, semi-manufactured products, balancing items);ESTAT;CL_MATERIAL;1.1;144;128;1;15;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_MATERIAL/1.1
ESTAT:CL_MATURITY(1.8);SINGLE;maturity;Original and Residual Maturity;Description not available;ESTAT;CL_MATURITY;1.8;120;101;2;17;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_MATURITY/1.8
SDMX:CL_ACTIVITY_ISIC4(1.0);GROUP;activity;Activity - ISIC, Revision 4;"This code list provides lists of values for describing the economic activity, defined as the combination of actions that result in the production, distribution and consumption of goods or services. It is based on the United Nations standard classification ISIC (International Standard Industrial Classification of All Economic Activities), Revision 4 (2008). More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_ACTIVITY_ISIC4;1.0;766;44;0;722;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_ACTIVITY_ISIC4/1.0
UNSD:CL_MEASURE(1.0);SINGLE;measure;CL_MEASURE;Description not available;UNSD;CL_MEASURE;1.0;11;11;0;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_MEASURE/1.0
OECD:CL_MEASURE_PRINCIP(1.0);SINGLE;measurePrincip;Measurement principle code list;Description not available;OECD;CL_MEASURE_PRINCIP;1.0;4;1;1;2;;https://registry.sdmx.org/sdmx/v2/structure/codelist/OECD/CL_MEASURE_PRINCIP/1.0
UIS:CL_MOBILITY(1.0);SINGLE;mobility;Mobility;Description not available;UIS;CL_MOBILITY;1.0;8;4;4;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_MOBILITY/1.0
ESTAT:CL_NA_CONSOLIDAT(1.3);SINGLE;naConsolidat;Consolidation codes;Description not available;ESTAT;CL_NA_CONSOLIDAT;1.3;7;0;2;5;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_CONSOLIDAT/1.3
ESTAT:CL_NA_PRICES(1.1);SINGLE;naPrices;Price codes;Description not available;ESTAT;CL_NA_PRICES;1.1;14;4;1;9;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_PRICES/1.1
ESTAT:CL_NA_STO(1.16.0);GROUP;stocksTrans;Stocks, Transactions, Other Flows;Description not available;ESTAT;CL_NA_STO;1.16.0;600;18;2;580;['ESTAT:CL_NA_STO93(1.4)', 'ESTAT:CL_NA_STO(1.16.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_STO/1.16.0
ESTAT:CL_NA_STO93(1.4);GROUP;stocksTrans;Stocks. Transactions. Other Flows (SNA93);Description not available;ESTAT;CL_NA_STO93;1.4;332;46;2;284;['ESTAT:CL_NA_STO93(1.4)', 'ESTAT:CL_NA_STO(1.16.0)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_STO93/1.4
ESTAT:CL_NA_TABLEID(1.10);SINGLE;naTable;NA Table IDs;Description not available;ESTAT;CL_NA_TABLEID;1.10;121;121;0;0;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_NA_TABLEID/1.10
IAEG-SDGs:CL_NATURE(1.0);SINGLE;nature;Nature code list;Description not available;IAEG-SDGs;CL_NATURE;1.0;7;0;1;6;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_NATURE/1.0
ESTAT:CL_OBS_STATUS(2.3);GROUP;obsStatus;Observation status;Description not available;ESTAT;CL_OBS_STATUS;2.3;21;0;0;21;['SDMX:CL_OBS_STATUS(2.2)', 'ESTAT:CL_OBS_STATUS(2.3)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_OBS_STATUS/2.3
SDMX:CL_ACTIVITY_NACE2(1.0);GROUP;activity;Activity - NACE, Revision 2;"This code list provides lists of values for describing the economic activity, defined as the combination of actions that result in the production, distribution and consumption of goods or services. It is based on the European Union standard classification NACE (Statistical Classification of Economic Activities in the European Community), Revision 2 (2008). More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_ACTIVITY_NACE2;1.0;996;154;0;842;;https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_ACTIVITY_NACE2/1.0
SDMX:CL_OBS_STATUS(2.2);GROUP;obsStatus;Observation Status;Description not available;SDMX;CL_OBS_STATUS;2.2;20;0;0;20;['SDMX:CL_OBS_STATUS(2.2)', 'ESTAT:CL_OBS_STATUS(2.3)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_OBS_STATUS/2.2
IAEG-SDGs:CL_OCCUPATION(1.8);GROUP;occupation;SDG Occupation code list;Description not available;IAEG-SDGs;CL_OCCUPATION;1.8;49;48;1;0;['SDMX:CL_OCCUPATION(1.0)', 'IAEG-SDGs:CL_OCCUPATION(1.8)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_OCCUPATION/1.8
SDMX:CL_OCCUPATION(1.0);GROUP;occupation;Occupation;"This code list provides a list of values for describing the job or position held by an individual. More information about this code list and SDMX code lists in general (e.g. list of generic codes for expressing general concepts like ""Total"", ""Unknown"", etc.; syntaxes for the creation of further codes; general guidelines for the creation of SDMX code lists) can be found at this address: https://sdmx.org/?page_id=4345.";SDMX;CL_OCCUPATION;1.0;619;619;0;0;['SDMX:CL_OCCUPATION(1.0)', 'IAEG-SDGs:CL_OCCUPATION(1.8)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/SDMX/CL_OCCUPATION/1.0
IMF:CL_ORGANISATION(1.14.0);SINGLE;compilingOrg;Compiling organisation code list;Description not available;IMF;CL_ORGANISATION;1.14.0;1014;893;0;121;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IMF/CL_ORGANISATION/1.14.0
UIS:CL_ORIGIN_CRITERION(1.0);SINGLE;originCriterion;Origin criterion;Description not available;UIS;CL_ORIGIN_CRITERION;1.0;7;3;2;2;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UIS/CL_ORIGIN_CRITERION/1.0
UNSD:CL_PARTNER_TYPE(1.0);SINGLE;partnerType;CL_PARTNER_TYPE;Description not available;UNSD;CL_PARTNER_TYPE;1.0;8;0;1;7;;https://registry.sdmx.org/sdmx/v2/structure/codelist/UNSD/CL_PARTNER_TYPE/1.0
ESTAT:CL_PENS_FUNDTYPE(1.2);SINGLE;pensFundType;Pension Fund Type;Description not available;ESTAT;CL_PENS_FUNDTYPE;1.2;18;11;2;5;;https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_PENS_FUNDTYPE/1.2
ESTAT:CL_PRODUCT(1.3);GROUP;products;Product classification;CPC;ESTAT;CL_PRODUCT;1.3;232;228;4;0;['ESTAT:CL_PRODUCT(1.3)', 'IAEG-SDGs:CL_PRODUCT(1.19)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/ESTAT/CL_PRODUCT/1.3
IAEG-SDGs:CL_PRODUCT(1.19);GROUP;products;SDG Type of product code list;Description not available;IAEG-SDGs;CL_PRODUCT;1.19;32;11;1;20;['ESTAT:CL_PRODUCT(1.3)', 'IAEG-SDGs:CL_PRODUCT(1.19)'];https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_PRODUCT/1.19
IAEG-SDGs:CL_QUANTILE(1.1);SINGLE;incomeQuantile;Income/wealth quantile code list;Description not available;IAEG-SDGs;CL_QUANTILE;1.1;10;2;1;7;;https://registry.sdmx.org/sdmx/v2/structure/codelist/IAEG-SDGs/CL_QUANTILE/1.1
